# Euromilhões data from each draw (top 3 prize count) - Bids per draw in PT
# Scraped from file 373.0 (oldest, Oct/2004) to 12994.0 (Oct/2023)
# Between the first file, 373.0 (Oct/2004), and 12994.0 (Oct/2023), over 1600+ draws happened
# Attention to files as 4630.0 (draw 2004/34), added after draw 373.0 (2004/35) and 2391.0 (2006/50)
# Since 2011-05-06 (draw 6721.0) Euromilhões has draws every Friday and Tuesday (before the date, only Fridays)
# Run using Python v3.10 with libraries: requests, BeautifulSoup
# Created by Fernando Abreu, at 2023-10-15 16:06:45 UTC
# Source of data: https://www.jogossantacasa.pt/web/SCCartazResult/euroMilhoes
draw_seq,draw_date,wins,bids
2010.001,2010-01-01,9,8609267
2010.002,2010-01-08,1,8911470
2010.003,2010-01-15,3,9351548
2010.004,2010-01-22,4,8059769
2010.005,2010-01-29,1,8343221
2010.006,2010-02-05,2,11098697
2010.007,2010-02-12,2,12266177
2010.008,2010-02-19,2,8274618
2010.009,2010-02-26,4,8876442
2010.010,2010-03-05,3,9089109
2010.011,2010-03-12,0,8120187
2010.012,2010-03-19,6,8427773
2010.013,2010-03-26,4,8806222
2010.014,2010-04-02,5,7667465
2010.015,2010-04-09,1,7612989
2010.016,2010-04-16,14,8017320
2010.017,2010-04-23,1,8471539
2010.018,2010-04-30,4,8866969
2010.019,2010-05-07,5,9507825
2010.020,2010-05-14,2,10393013
2010.021,2010-05-21,2,7663638
2010.022,2010-05-28,3,7547748
2010.023,2010-06-04,10,7232699
2010.024,2010-06-11,1,7459048
2010.025,2010-06-18,0,7340881
2010.026,2010-06-25,1,7409634
2010.027,2010-07-02,1,7251157
2010.028,2010-07-09,0,7671744
2010.029,2010-07-16,8,8335605
2010.030,2010-07-23,3,7487219
2010.031,2010-07-30,0,7733674
2010.032,2010-08-06,0,7403508
2010.033,2010-08-13,24,7825519
2010.034,2010-08-20,3,7442824
2010.035,2010-08-27,2,7311543
2010.036,2010-09-03,2,7201835
2010.037,2010-09-10,6,7235246
2010.038,2010-09-17,2,7158399
2010.039,2010-09-24,2,7560019
2010.040,2010-10-01,8,11160469
2010.041,2010-10-08,2,11844210
2010.042,2010-10-15,1,8025654
2010.043,2010-10-22,3,8210816
2010.044,2010-10-29,2,7666352
2010.045,2010-11-05,4,8039686
2010.046,2010-11-12,3,7687068
2010.047,2010-11-19,13,7979805
2010.048,2010-11-26,6,8333401
2010.049,2010-12-03,3,7703208
2010.050,2010-12-10,0,8275643
2010.051,2010-12-17,3,8849639
2010.052,2010-12-24,2,8250363
2010.053,2010-12-31,2,8586797
2011.001,2011-01-07,15,7536604
2011.002,2011-01-14,0,7584190
2011.003,2011-01-21,15,7986669
2011.004,2011-01-28,2,7665593
2011.005,2011-02-04,4,8035585
2011.006,2011-02-11,3,7615141
2011.007,2011-02-18,1,7831596
2011.008,2011-02-25,5,8308328
2011.009,2011-03-04,4,8977554
2011.010,2011-03-11,1,9579412
2011.011,2011-03-18,6,10921071
2011.012,2011-03-25,11,12202069
2011.013,2011-04-01,8,8123687
2011.014,2011-04-08,2,7681098
2011.015,2011-04-15,7,7765122
2011.016,2011-04-22,1,8068979
2011.017,2011-04-29,1,7270279
2011.018,2011-05-06,5,7608347
2011.019,2011-05-10,2,4237769
2011.020,2011-05-13,2,7483963
2011.021,2011-05-17,3,3261320
2011.022,2011-05-20,1,6376506
2011.023,2011-05-24,0,3026976
2011.024,2011-05-27,6,6135857
2011.025,2011-05-31,8,3267574
2011.026,2011-06-03,1,6339136
2011.027,2011-06-07,1,3611449
2011.028,2011-06-10,1,6206620
2011.029,2011-06-14,1,3736053
2011.030,2011-06-17,1,7083194
2011.031,2011-06-21,2,4448632
2011.032,2011-06-24,3,7182363
2011.033,2011-06-28,1,6247263
2011.034,2011-07-01,5,9595438
2011.035,2011-07-05,1,8468546
2011.036,2011-07-08,2,13185707
2011.037,2011-07-12,4,9913595
2011.038,2011-07-15,1,7380360
2011.039,2011-07-19,0,4440424
2011.040,2011-07-22,4,6720429
2011.041,2011-07-26,0,3937823
2011.042,2011-07-29,2,6613918
2011.043,2011-08-02,0,3831776
2011.044,2011-08-05,2,6473393
2011.045,2011-08-09,0,4000338
2011.046,2011-08-12,1,6615628
2011.047,2011-08-16,1,3969305
2011.048,2011-08-19,3,6708443
2011.049,2011-08-23,1,4505910
2011.050,2011-08-26,9,7305504
2011.051,2011-08-30,0,4838924
2011.052,2011-09-02,3,7688125
2011.053,2011-09-06,3,5430792
2011.054,2011-09-09,0,8438970
2011.055,2011-09-13,0,6255493
